2026-03-11 11:34:10,468 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:34:50,921 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:34:56,443 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:39:31,089 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:04,984 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:29,828 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:35,549 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:39,725 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:43,888 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:48,112 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:52,341 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:41:56,536 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:42:00,717 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:42:04,894 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:42:09,078 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:42:13,277 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:42:17,568 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 11:42:22,218 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 12:33:16,574 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 12:34:25,368 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
2026-03-11 12:36:59,857 | INFO | USER: Lider de PV | ACTION: DB_CONNECTION_ERROR | STATUS: FAILED | ERROR: 1001 - Error de conexión a la base de datos
